area Name,area type,year,variable,value
Columbus,Municipality,1990,High School Graduates White Age 25 Up,428.0
Liberty,Municipality,1990,High School Graduates White Age 25 Up,744.0
Bailey,Municipality,1990,High School Graduates White Age 25 Up,222.0
Roxboro,Municipality,2010,High School Graduates White Age 25 Up,2670.0
Greenville,Municipality,1990,High School Graduates White Age 25 Up,12998.0
Tryon,Municipality,1980,High School Graduates White Age 25 Up,182.0
Kernersville,Municipality,2015,High School Graduates White Age 25 Up,12232.0
Lewisville,Municipality,2015,High School Graduates White Age 25 Up,8185.0
East Laurinburg,Municipality,1980,High School Graduates White Age 25 Up,45.0
Mount Holly,Municipality,1990,High School Graduates White Age 25 Up,2842.0
Winton,Municipality,1980,High School Graduates White Age 25 Up,54.0
Hookerton,Municipality,2015,High School Graduates White Age 25 Up,128.0
Statesville,Municipality,2015,High School Graduates White Age 25 Up,8795.0
East Laurinburg,Municipality,2010,High School Graduates White Age 25 Up,81.0
Laurinburg,Municipality,1990,High School Graduates White Age 25 Up,2536.0
Germanton,Municipality,2015,High School Graduates White Age 25 Up,445.0
Dobson,Municipality,1990,High School Graduates White Age 25 Up,384.0
Mount Airy,Municipality,1990,High School Graduates White Age 25 Up,2647.0
Pilot Mountain,Municipality,2015,High School Graduates White Age 25 Up,914.0
Columbia,Municipality,1990,High School Graduates White Age 25 Up,204.0
Benson,Municipality,2015,High School Graduates White Age 25 Up,1485.0
"Township 8, Newlin",Township,1990,High School Graduates White Age 25 Up,1475.0
Dortches,Municipality,1980,High School Graduates White Age 25 Up,158.0
Pink Hill,Municipality,1990,High School Graduates White Age 25 Up,183.0
Tract 126.17,Tract,1990,High School Graduates White Age 25 Up,927.0
Chapel Hill Twp.,Township,1990,High School Graduates White Age 25 Up,26185.0
Grimesland Township,Township,1990,High School Graduates White Age 25 Up,2485.0
Pleasant Grove Twp.,Township,1990,High School Graduates White Age 25 Up,223.0
"Twp. 4, Kannapolis",Township,1990,High School Graduates White Age 25 Up,11140.0
North Catawba Twp.,Township,1990,High School Graduates White Age 25 Up,2242.0
Garysburg,Municipality,2000,High School Graduates White Age 25 Up,23.0
Little River Twp.,Township,1990,High School Graduates White Age 25 Up,822.0
Jackson,Municipality,1990,High School Graduates White Age 25 Up,203.0
Rich Square,Municipality,2015,High School Graduates White Age 25 Up,222.0
Neuse Township,Township,1990,High School Graduates White Age 25 Up,15557.0
Rich Square,Municipality,1990,High School Graduates White Age 25 Up,290.0
Carrboro,Municipality,2000,High School Graduates White Age 25 Up,6972.0
Minnesott Beach,Municipality,1990,High School Graduates White Age 25 Up,199.0
McAdenville,Municipality,2000,High School Graduates White Age 25 Up,268.0
Bessemer City,Municipality,2000,High School Graduates White Age 25 Up,1978.0
Locust,Municipality,2000,High School Graduates White Age 25 Up,1213.0
Columbia,Municipality,2000,High School Graduates White Age 25 Up,174.0
Marvin,Municipality,2010,High School Graduates White Age 25 Up,2490.0
Indian Trail,Municipality,2000,High School Graduates White Age 25 Up,5822.0
BNA 9911,Tract,1990,High School Graduates White Age 25 Up,1882.0
BNA 9610,Tract,1990,High School Graduates White Age 25 Up,1115.0
Tract 522.01,Tract,1990,High School Graduates White Age 25 Up,259.0
Tract 542.02,Tract,1990,High School Graduates White Age 25 Up,2916.0
Foxfire,Municipality,1980,High School Graduates White Age 25 Up,32.0
Tract 14,Tract,1990,High School Graduates White Age 25 Up,1664.0
Tract 12,Tract,1990,High School Graduates White Age 25 Up,745.0
Tract 107.01,Tract,1990,High School Graduates White Age 25 Up,636.0
Tract 112.02,Tract,1990,High School Graduates White Age 25 Up,1667.0
Tract 114,Tract,1990,High School Graduates White Age 25 Up,1393.0
Tract 118,Tract,1990,High School Graduates White Age 25 Up,1123.0
Tract 301,Tract,1990,High School Graduates White Age 25 Up,1298.0
Chimney Rock,Municipality,2010,High School Graduates White Age 25 Up,115.0
Chimney Rock,Municipality,2000,High School Graduates White Age 25 Up,82.0
Benson,Municipality,1980,High School Graduates White Age 25 Up,315.0
Maysville,Municipality,1980,High School Graduates White Age 25 Up,64.0
Kinston,Municipality,1990,High School Graduates White Age 25 Up,5884.0
Mars Hill,Municipality,2010,High School Graduates White Age 25 Up,834.0
Duncans Creek Twp.,Township,1990,High School Graduates White Age 25 Up,205.0
Dunns Rock Township,Township,1990,High School Graduates White Age 25 Up,1906.0
Bailey,Municipality,2015,High School Graduates White Age 25 Up,219.0
Raynham,Municipality,1990,High School Graduates White Age 25 Up,9.0
Landis,Municipality,2000,High School Graduates White Age 25 Up,1394.0
Grantham Township,Township,1990,High School Graduates White Age 25 Up,1280.0
BNA 9605,Tract,1990,High School Graduates White Age 25 Up,268.0
Tract 505,Tract,1990,High School Graduates White Age 25 Up,1883.0
Tract 514,Tract,1990,High School Graduates White Age 25 Up,1872.0
Tract 520.02,Tract,1990,High School Graduates White Age 25 Up,225.0
Tract 525.01,Tract,1990,High School Graduates White Age 25 Up,3828.0
Saluda-Henderson,Municipal Part,2000,High School Graduates White Age 25 Up,0.0
Tract 509.02,Tract,1990,High School Graduates White Age 25 Up,2875.0
BNA 9609,Tract,1990,High School Graduates White Age 25 Up,1937.0
Kannapolis,Municipality,2010,High School Graduates White Age 25 Up,16307.0
Gibson,Municipality,1980,High School Graduates White Age 25 Up,35.0
BNA 9904,Tract,1990,High School Graduates White Age 25 Up,1957.0
Tract 4,Tract,1990,High School Graduates White Age 25 Up,3014.0
BNA 9805,Tract,1990,High School Graduates White Age 25 Up,994.0
Tract 316.01,Tract,1990,High School Graduates White Age 25 Up,1138.0
Fountain Township,Township,1990,High School Graduates White Age 25 Up,278.0
Steeles Township,Township,1990,High School Graduates White Age 25 Up,129.0
Tract 512.02,Tract,1990,High School Graduates White Age 25 Up,1274.0
Tract 605,Tract,1990,High School Graduates White Age 25 Up,2191.0
Tract 107,Tract,1990,High School Graduates White Age 25 Up,707.0
Tract 714.98,Tract,1990,High School Graduates White Age 25 Up,0.0
Tract 707,Tract,1990,High School Graduates White Age 25 Up,805.0
Smith Township,Township,1990,High School Graduates White Age 25 Up,619.0
Cleveland County,County,2010,High School Graduates White Age 25 Up,41899.0
Spencer,Municipality,2015,High School Graduates White Age 25 Up,1353.0
Davie County,County,2010,High School Graduates White Age 25 Up,21968.0
Duplin County,County,1970,High School Graduates White Age 25 Up,5554.0
Orange County,County,2010,High School Graduates White Age 25 Up,56087.0
North Carolina,State of NC,2010,High School Graduates White Age 25 Up,3866991.0
Alleghany County,County,2015,High School Graduates White Age 25 Up,6141.0
Beaufort County,County,2010,High School Graduates White Age 25 Up,20881.0
Buncombe County,County,1970,High School Graduates White Age 25 Up,37655.0
Momeyer,Municipality,2010,High School Graduates White Age 25 Up,183.0
Garysburg,Municipality,1990,High School Graduates White Age 25 Up,14.0
Lasker,Municipality,2010,High School Graduates White Age 25 Up,65.0
Seaboard,Municipality,1980,High School Graduates White Age 25 Up,48.0
Hillsborough,Municipality,1990,High School Graduates White Age 25 Up,1126.0
Vandemere,Municipality,2010,High School Graduates White Age 25 Up,49.0
White Lake,Municipality,2015,High School Graduates White Age 25 Up,799.0
Caswell Beach,Municipality,1980,High School Graduates White Age 25 Up,17.0
Ocean Isle Beach,Municipality,2000,High School Graduates White Age 25 Up,328.0
Sandy Creek,Municipality,1990,High School Graduates White Age 25 Up,107.0
Sandy Creek,Municipality,2000,High School Graduates White Age 25 Up,113.0
Rutherford College,Municipality,2000,High School Graduates White Age 25 Up,697.0
Greene County,County,1990,High School Graduates White Age 25 Up,4318.0
Greene County,County,1980,High School Graduates White Age 25 Up,2860.0
Hertford County,County,1980,High School Graduates White Age 25 Up,3827.0
Iredell County,County,1980,High School Graduates White Age 25 Up,22053.0
Jackson County,County,2000,High School Graduates White Age 25 Up,14655.0
BNA 9910,Tract,1990,High School Graduates White Age 25 Up,1404.0
BNA 9610,Tract,1990,High School Graduates White Age 25 Up,2967.0
Tract 28,Tract,1990,High School Graduates White Age 25 Up,1679.0
Tract 18,Tract,1990,High School Graduates White Age 25 Up,1037.0
Tract 33.05,Tract,1990,High School Graduates White Age 25 Up,2083.0
Andrews,Municipality,2010,High School Graduates White Age 25 Up,894.0
Pender County,County,1970,High School Graduates White Age 25 Up,2132.0
Albright Township,Township,1990,High School Graduates White Age 25 Up,782.0
Hickory Mtn. Twp.,Township,1990,High School Graduates White Age 25 Up,569.0
Notla Township,Township,1990,High School Graduates White Age 25 Up,1219.0
Wake County,County,2010,High School Graduates White Age 25 Up,366995.0
Williams Township,Township,1990,High School Graduates White Age 25 Up,1145.0
Island Creek Twp.,Township,1990,High School Graduates White Age 25 Up,2017.0
Kenansville Twp.,Township,1990,High School Graduates White Age 25 Up,798.0
Statesville,Municipality,1990,High School Graduates White Age 25 Up,5880.0
Colerain,Municipality,2015,High School Graduates White Age 25 Up,134.0
Mitchell County,County,2010,High School Graduates White Age 25 Up,8610.0
Dobson,Municipality,2000,High School Graduates White Age 25 Up,499.0
Rosman,Municipality,2010,High School Graduates White Age 25 Up,231.0
Webster,Municipality,2015,High School Graduates White Age 25 Up,247.0
Clayton,Municipality,2015,High School Graduates White Age 25 Up,7970.0
Princeton,Municipality,1990,High School Graduates White Age 25 Up,362.0
Fork Township,Township,1990,High School Graduates White Age 25 Up,2865.0
Lake Landing Twp.,Township,1990,High School Graduates White Age 25 Up,534.0
Fallstown Township,Township,1990,High School Graduates White Age 25 Up,2287.0
Statesville Twp.,Township,1990,High School Graduates White Age 25 Up,8311.0
Pink Hill Township,Township,1990,High School Graduates White Age 25 Up,824.0
Oakboro,Municipality,1990,High School Graduates White Age 25 Up,179.0
Cherokee County,County,2000,High School Graduates White Age 25 Up,12475.0
Faith,Municipality,2000,High School Graduates White Age 25 Up,400.0
Salisbury,Municipality,1980,High School Graduates White Age 25 Up,2178.0
Wilmington,Municipality,2015,High School Graduates White Age 25 Up,53286.0
Lasker,Municipality,1980,High School Graduates White Age 25 Up,27.0
Seven Springs,Municipality,2000,High School Graduates White Age 25 Up,21.0
Garland,Municipality,2010,High School Graduates White Age 25 Up,128.0
Ronda,Municipality,2000,High School Graduates White Age 25 Up,155.0
New London,Municipality,2010,High School Graduates White Age 25 Up,296.0
Clinton,Municipality,2000,High School Graduates White Age 25 Up,2761.0
Roseboro,Municipality,1980,High School Graduates White Age 25 Up,133.0
Garner,Municipality,1990,High School Graduates White Age 25 Up,7095.0
Marietta Township,Township,1990,High School Graduates White Age 25 Up,221.0
Leaksville Twp.,Township,1990,High School Graduates White Age 25 Up,7402.0
Taylors Bridge Twp.,Township,1990,High School Graduates White Age 25 Up,259.0
Wentworth,Municipality,2015,High School Graduates White Age 25 Up,1186.0
Halifax,Municipality,2000,High School Graduates White Age 25 Up,144.0
Canton,Municipality,1990,High School Graduates White Age 25 Up,1930.0
Laurel Park,Municipality,1990,High School Graduates White Age 25 Up,1032.0
Como,Municipality,1990,High School Graduates White Age 25 Up,61.0
Orrum,Municipality,2000,High School Graduates White Age 25 Up,20.0
Stoneville,Municipality,2015,High School Graduates White Age 25 Up,605.0
BNA 9910,Tract,1990,High School Graduates White Age 25 Up,1806.0
BNA 9504,Tract,1990,High School Graduates White Age 25 Up,1591.0
Tract 410,Tract,1990,High School Graduates White Age 25 Up,2901.0
Tract 702,Tract,1990,High School Graduates White Age 25 Up,2153.0
BNA 9702,Tract,1990,High School Graduates White Age 25 Up,1479.0
BNA 9702,Tract,1990,High School Graduates White Age 25 Up,1136.0
Tract 18.98,Tract,1990,High School Graduates White Age 25 Up,1992.0
South Buck Shoals Twp.,Township,1990,High School Graduates White Age 25 Up,327.0
Tract 209,Tract,1990,High School Graduates White Age 25 Up,1988.0
Tract 21.01,Tract,1990,High School Graduates White Age 25 Up,937.0
Tract 8,Tract,1990,High School Graduates White Age 25 Up,1655.0
Tract 424,Tract,1990,High School Graduates White Age 25 Up,2318.0
BNA 9703.99,Tract,1990,High School Graduates White Age 25 Up,8.0
Tract 111,Tract,1990,High School Graduates White Age 25 Up,2908.0
Tract 2,Tract,1990,High School Graduates White Age 25 Up,346.0
Tract 41.01,Tract,1990,High School Graduates White Age 25 Up,2917.0
Tract 310.02,Tract,1990,High School Graduates White Age 25 Up,1853.0
Tract 332.02,Tract,1990,High School Graduates White Age 25 Up,412.0
Tract 105,Tract,1990,High School Graduates White Age 25 Up,1485.0
Tract 103,Tract,1990,High School Graduates White Age 25 Up,515.0
Oak Island,Municipality,2000,High School Graduates White Age 25 Up,4412.0
Trinity,Municipality,2000,High School Graduates White Age 25 Up,3128.0
Tract 5,Tract,1990,High School Graduates White Age 25 Up,704.0
Tract 14,Tract,1990,High School Graduates White Age 25 Up,0.0
Tract 21,Tract,1990,High School Graduates White Age 25 Up,1363.0
South Albemarle twp,Township,1990,High School Graduates White Age 25 Up,2206.0
Tract 30.02,Tract,1990,High School Graduates White Age 25 Up,869.0
Tract 32.01,Tract,1990,High School Graduates White Age 25 Up,1631.0
Shocco Township,Township,1990,High School Graduates White Age 25 Up,146.0
New River Township,Township,1990,High School Graduates White Age 25 Up,1575.0
BNA 9801,Tract,1990,High School Graduates White Age 25 Up,627.0
Zebulon,Municipality,2000,High School Graduates White Age 25 Up,1287.0
Pikeville,Municipality,2010,High School Graduates White Age 25 Up,340.0
Goldsboro,Municipality,2015,High School Graduates White Age 25 Up,8347.0
Sanford,Municipality,1990,High School Graduates White Age 25 Up,5069.0
Vanceboro,Municipality,1990,High School Graduates White Age 25 Up,318.0
West Jefferson,Municipality,2015,High School Graduates White Age 25 Up,638.0
Elk Park,Municipality,1980,High School Graduates White Age 25 Up,129.0
Bath,Municipality,2015,High School Graduates White Age 25 Up,217.0
Pantego,Municipality,2010,High School Graduates White Age 25 Up,62.0
Kelford,Municipality,1990,High School Graduates White Age 25 Up,35.0
Mount Holly,Municipality,2010,High School Graduates White Age 25 Up,6031.0
Norwood,Municipality,1990,High School Graduates White Age 25 Up,421.0
Waxhaw,Municipality,1990,High School Graduates White Age 25 Up,466.0
Indian Trail,Municipality,2015,High School Graduates White Age 25 Up,16428.0
Four Oaks,Municipality,2010,High School Graduates White Age 25 Up,633.0
Weddington-Mecklenburg,Municipal Part,2000,High School Graduates White Age 25 Up,0.0
Ellendale Township,Township,1990,High School Graduates White Age 25 Up,824.0
Wadesboro Township,Township,1990,High School Graduates White Age 25 Up,2510.0
"Twp. 12, Concord",Township,1990,High School Graduates White Age 25 Up,6340.0
Kure Beach,Municipality,2000,High School Graduates White Age 25 Up,1109.0
Conway,Municipality,2015,High School Graduates White Age 25 Up,214.0
Rich Square,Municipality,2000,High School Graduates White Age 25 Up,185.0
Chapel Hill,Municipality,2015,High School Graduates White Age 25 Up,21622.0
Tract 544.01,Tract,1990,High School Graduates White Age 25 Up,2427.0
Tract 11,Tract,1990,High School Graduates White Age 25 Up,2865.0
Cherryville,Municipality,1980,High School Graduates White Age 25 Up,714.0
High Shoals,Municipality,2000,High School Graduates White Age 25 Up,269.0
Gatesville,Municipality,1980,High School Graduates White Age 25 Up,51.0
Biscoe,Municipality,2015,High School Graduates White Age 25 Up,430.0
Madison,Municipality,1990,High School Graduates White Age 25 Up,703.0
Salisbury,Municipality,1990,High School Graduates White Age 25 Up,8083.0
Turkey,Municipality,1980,High School Graduates White Age 25 Up,44.0
Sylva,Municipality,1980,High School Graduates White Age 25 Up,248.0
Sylva,Municipality,2000,High School Graduates White Age 25 Up,1126.0
Princeton,Municipality,2000,High School Graduates White Age 25 Up,387.0
Broadway,Municipality,2010,High School Graduates White Age 25 Up,640.0
Kinston,Municipality,2015,High School Graduates White Age 25 Up,4199.0
Erwin,Municipality,1980,High School Graduates White Age 25 Up,464.0
Mitchell County,County,1980,High School Graduates White Age 25 Up,3931.0
Red Springs-Hoke,Municipal Part,2000,High School Graduates White Age 25 Up,0.0
Cape Carteret,Municipality,1980,High School Graduates White Age 25 Up,214.0
Newton,Municipality,1980,High School Graduates White Age 25 Up,991.0
Hickory,Municipality,1990,High School Graduates White Age 25 Up,11990.0
White Lake,Municipality,1980,High School Graduates White Age 25 Up,107.0
Boiling Spring Lakes,Municipality,2010,High School Graduates White Age 25 Up,3094.0
Caswell Township,Township,1990,High School Graduates White Age 25 Up,261.0
Hertford Township,Township,1990,High School Graduates White Age 25 Up,824.0
Beaverdam Township,Township,1990,High School Graduates White Age 25 Up,640.0
Peak Creek Township,Township,1990,High School Graduates White Age 25 Up,357.0
"Twp. 5, New Gilead",Township,1990,High School Graduates White Age 25 Up,1502.0
Tract 60.02,Tract,1990,High School Graduates White Age 25 Up,2653.0
BNA 9601.98,Tract,1990,High School Graduates White Age 25 Up,1602.0
Tract 103,Tract,1990,High School Graduates White Age 25 Up,968.0
BNA 9603,Tract,1990,High School Graduates White Age 25 Up,893.0
BNA 9907,Tract,1990,High School Graduates White Age 25 Up,1431.0
Tract 8.01,Tract,1990,High School Graduates White Age 25 Up,0.0
BNA 9603,Tract,1990,High School Graduates White Age 25 Up,940.0
Tract 167,Tract,1990,High School Graduates White Age 25 Up,3108.0
Tract 25.02,Tract,1990,High School Graduates White Age 25 Up,2074.0
Fayetteville,Municipality,2010,High School Graduates White Age 25 Up,52979.0
Tract 528.04,Tract,1990,High School Graduates White Age 25 Up,1704.0
Tract 515.01,Tract,1990,High School Graduates White Age 25 Up,2105.0
BNA 9806,Tract,1990,High School Graduates White Age 25 Up,1795.0
BNA 9904,Tract,1990,High School Graduates White Age 25 Up,1401.0
Tract 105,Tract,1990,High School Graduates White Age 25 Up,307.0
Tract 407,Tract,1990,High School Graduates White Age 25 Up,1491.0
Tract 411,Tract,1990,High School Graduates White Age 25 Up,2196.0
Oldfields Township,Township,1990,High School Graduates White Age 25 Up,693.0
Bath Township,Township,1990,High School Graduates White Age 25 Up,1684.0
Whitakers-Nash,Municipal Part,2000,High School Graduates White Age 25 Up,117.0
Burke County,County,2015,High School Graduates White Age 25 Up,44946.0
Dare County,County,1990,High School Graduates White Age 25 Up,12441.0
Duplin County,County,2015,High School Graduates White Age 25 Up,19575.0
Guilford County,County,2010,High School Graduates White Age 25 Up,178238.0
Elizabeth City-Pasquotank,Municipal Part,2000,High School Graduates White Age 25 Up,4067.0
Seven Devils-Watauga,Municipal Part,2000,High School Graduates White Age 25 Up,57.0
Indian Beach,Municipality,2000,High School Graduates White Age 25 Up,65.0
Hudson,Municipality,2015,High School Graduates White Age 25 Up,2193.0
Hudson,Municipality,2000,High School Graduates White Age 25 Up,1455.0
Claremont,Municipality,1990,High School Graduates White Age 25 Up,478.0
Holden Beach,Municipality,2010,High School Graduates White Age 25 Up,702.0
Concord,Municipality,2000,High School Graduates White Age 25 Up,24527.0
Edgecombe County,County,1980,High School Graduates White Age 25 Up,9126.0
Ashe County,County,1990,High School Graduates White Age 25 Up,8508.0
Tract 15.01,Tract,1990,High School Graduates White Age 25 Up,2157.0
Caswell County,County,2010,High School Graduates White Age 25 Up,8375.0
Columbus County,County,2010,High School Graduates White Age 25 Up,20539.0
Tract 35,Tract,1990,High School Graduates White Age 25 Up,1454.0
New Market Township,Township,1990,High School Graduates White Age 25 Up,2462.0
Richland Township,Township,1990,High School Graduates White Age 25 Up,980.0
BNA 9505,Tract,1990,High School Graduates White Age 25 Up,1749.0
"Twp. 6, W. Sanford",Township,1990,High School Graduates White Age 25 Up,5832.0
Griffins Township,Township,1990,High School Graduates White Age 25 Up,459.0
Robbins,Municipality,2000,High School Graduates White Age 25 Up,377.0
Southern Pines,Municipality,2000,High School Graduates White Age 25 Up,5775.0
Tract 9,Tract,1990,High School Graduates White Age 25 Up,3121.0
Tract 43.02,Tract,1990,High School Graduates White Age 25 Up,843.0
Wrightsville Beach,Municipality,2010,High School Graduates White Age 25 Up,1603.0
Wrightsville Beach,Municipality,1980,High School Graduates White Age 25 Up,399.0
Gaston,Municipality,1990,High School Graduates White Age 25 Up,309.0
Haywood County,County,2015,High School Graduates White Age 25 Up,36854.0
Jacksonville,Municipality,2000,High School Graduates White Age 25 Up,16012.0
Swansboro,Municipality,1980,High School Graduates White Age 25 Up,251.0
Carrboro,Municipality,2010,High School Graduates White Age 25 Up,8175.0
Alliance,Municipality,2000,High School Graduates White Age 25 Up,288.0
Kitty Hawk,Municipality,2010,High School Graduates White Age 25 Up,2102.0
Long View,Municipality,1990,High School Graduates White Age 25 Up,1174.0
Elk Park,Municipality,2010,High School Graduates White Age 25 Up,1939.0
Maxton,Municipality,2000,High School Graduates White Age 25 Up,468.0
New Hanover County,County,2010,High School Graduates White Age 25 Up,99966.0
Pembroke,Municipality,2000,High School Graduates White Age 25 Up,85.0
Pamlico County,County,2010,High School Graduates White Age 25 Up,6444.0
Red Springs,Municipality,2000,High School Graduates White Age 25 Up,873.0
Madison,Municipality,2015,High School Graduates White Age 25 Up,929.0
Cleveland,Municipality,2015,High School Graduates White Age 25 Up,378.0
Sampson County,County,2000,High School Graduates White Age 25 Up,18302.0
Scotland County,County,2000,High School Graduates White Age 25 Up,10000.0
Surry County,County,1970,High School Graduates White Age 25 Up,8623.0
Swain County,County,2015,High School Graduates White Age 25 Up,5653.0
Jackson,Municipality,2000,High School Graduates White Age 25 Up,201.0
Wayne County,County,1970,High School Graduates White Age 25 Up,14002.0
Wilkes County,County,2010,High School Graduates White Age 25 Up,32733.0
Wilkes County,County,2000,High School Graduates White Age 25 Up,28313.0
Burlington,Municipality,2015,High School Graduates White Age 25 Up,18386.0
Graham,Municipality,2000,High School Graduates White Age 25 Up,4786.0
West Jefferson,Municipality,2000,High School Graduates White Age 25 Up,514.0
Elk Park,Municipality,2015,High School Graduates White Age 25 Up,2005.0
Lenoir,Municipality,2010,High School Graduates White Age 25 Up,7725.0
Aurora,Municipality,1980,High School Graduates White Age 25 Up,89.0
Township 5,Township,1990,High School Graduates White Age 25 Up,377.0
Cape Carteret,Municipality,1990,High School Graduates White Age 25 Up,687.0
Seventy-First Twp.,Township,1990,High School Graduates White Age 25 Up,22516.0
Tract 505,Tract,1990,High School Graduates White Age 25 Up,1449.0
BNA 9905,Tract,1990,High School Graduates White Age 25 Up,1113.0
Tract 535.05,Tract,1990,High School Graduates White Age 25 Up,2013.0
Tract 2,Tract,1990,High School Graduates White Age 25 Up,98.0
Tract 544.03,Tract,1990,High School Graduates White Age 25 Up,256.0
BNA 9501,Tract,1990,High School Graduates White Age 25 Up,1308.0
Tract 17.98,Tract,1990,High School Graduates White Age 25 Up,3300.0
Tract 14,Tract,1990,High School Graduates White Age 25 Up,1769.0
Tract 107.03,Tract,1990,High School Graduates White Age 25 Up,1634.0
BNA 9912,Tract,1990,High School Graduates White Age 25 Up,892.0
Tract 19,Tract,1990,High School Graduates White Age 25 Up,608.0
BNA 9710,Tract,1990,High School Graduates White Age 25 Up,957.0
Tract 403,Tract,1990,High School Graduates White Age 25 Up,1469.0
Kingstown,Municipality,1990,High School Graduates White Age 25 Up,24.0
Kingstown,Municipality,2000,High School Graduates White Age 25 Up,10.0
Chadbourn,Municipality,2000,High School Graduates White Age 25 Up,468.0
Havelock,Municipality,2000,High School Graduates White Age 25 Up,6527.0
New Bern,Municipality,1990,High School Graduates White Age 25 Up,5546.0
Hope Mills,Municipality,1980,High School Graduates White Age 25 Up,1007.0
Belmont,Municipality,2000,High School Graduates White Age 25 Up,3734.0
Lowell,Municipality,1980,High School Graduates White Age 25 Up,317.0
Lake Santeetlah,Municipality,2015,High School Graduates White Age 25 Up,34.0
Stokesdale,Municipality,2010,High School Graduates White Age 25 Up,2674.0
Calypso,Municipality,1980,High School Graduates White Age 25 Up,95.0
Faison,Municipality,1980,High School Graduates White Age 25 Up,103.0
Kernersville,Municipality,2010,High School Graduates White Age 25 Up,11585.0
Tract 32.98,Tract,1990,High School Graduates White Age 25 Up,4422.0
Tract 109,Tract,1990,High School Graduates White Age 25 Up,1004.0
Tract 6,Tract,1990,High School Graduates White Age 25 Up,3246.0
BNA 9620,Tract,1990,High School Graduates White Age 25 Up,647.0
Tract 526.01,Tract,1990,High School Graduates White Age 25 Up,2003.0
BNA 9601,Tract,1990,High School Graduates White Age 25 Up,1957.0
Tract 8.02,Tract,1990,High School Graduates White Age 25 Up,381.0
Caldwell County,County,2015,High School Graduates White Age 25 Up,40894.0
Catawba County,County,2000,High School Graduates White Age 25 Up,63825.0
Lake Waccamaw,Municipality,1990,High School Graduates White Age 25 Up,379.0
River Bend,Municipality,2010,High School Graduates White Age 25 Up,2101.0
Spring Lake,Municipality,2010,High School Graduates White Age 25 Up,2274.0
Kill Devil Hills,Municipality,1980,High School Graduates White Age 25 Up,372.0
Calabash,Municipality,2000,High School Graduates White Age 25 Up,475.0
Biltmore Forest,Municipality,1990,High School Graduates White Age 25 Up,940.0
Hildebran,Municipality,2000,High School Graduates White Age 25 Up,660.0
Durham,Municipality,2010,High School Graduates White Age 25 Up,63402.0
Macclesfield,Municipality,2015,High School Graduates White Age 25 Up,190.0
Lewisville,Municipality,2000,High School Graduates White Age 25 Up,5126.0
Greene County,County,2000,High School Graduates White Age 25 Up,5362.0
Harnett County,County,1970,High School Graduates White Age 25 Up,6339.0
Moore County,County,2000,High School Graduates White Age 25 Up,38647.0
Lewiston Woodville,Municipality,1990,High School Graduates White Age 25 Up,137.0
Windsor,Municipality,2015,High School Graduates White Age 25 Up,815.0
Ranlo,Municipality,1980,High School Graduates White Age 25 Up,154.0
Biltmore Forest,Municipality,1980,High School Graduates White Age 25 Up,124.0
Black Mountain,Municipality,1980,High School Graduates White Age 25 Up,842.0
Valdese,Municipality,2010,High School Graduates White Age 25 Up,2343.0
Gamewell,Municipality,2000,High School Graduates White Age 25 Up,1713.0
Chadbourn Township,Township,1990,High School Graduates White Age 25 Up,1493.0
South Williams Twp.,Township,1990,High School Graduates White Age 25 Up,1387.0
Kinnakeet Township,Township,1990,High School Graduates White Age 25 Up,660.0
Tract 41,Tract,1990,High School Graduates White Age 25 Up,194.0
Gaddy Township,Township,1990,High School Graduates White Age 25 Up,108.0
Saddletree Township,Township,1990,High School Graduates White Age 25 Up,345.0
Cameron,Municipality,2010,High School Graduates White Age 25 Up,188.0
Carthage,Municipality,1990,High School Graduates White Age 25 Up,402.0
Pinehurst,Municipality,2010,High School Graduates White Age 25 Up,9258.0
Green Hill Township,Township,1990,High School Graduates White Age 25 Up,580.0
Macon County,County,1980,High School Graduates White Age 25 Up,6948.0
Herrings Township,Township,1990,High School Graduates White Age 25 Up,441.0
Laurinburg,Municipality,2015,High School Graduates White Age 25 Up,4216.0
Marsh Township,Township,1990,High School Graduates White Age 25 Up,375.0
Nutbush Township,Township,1990,High School Graduates White Age 25 Up,137.0
Stantonsburg Twp.,Township,1990,High School Graduates White Age 25 Up,405.0
Princeton,Municipality,2015,High School Graduates White Age 25 Up,483.0
Williamston Twp.,Township,1990,High School Graduates White Age 25 Up,2514.0
Winfall,Municipality,1980,High School Graduates White Age 25 Up,100.0
Canton,Municipality,2000,High School Graduates White Age 25 Up,2027.0
Waynesville,Municipality,1990,High School Graduates White Age 25 Up,2999.0
Brookford,Municipality,2000,High School Graduates White Age 25 Up,149.0
Hendersonville,Municipality,2000,High School Graduates White Age 25 Up,5581.0
Winton,Municipality,2015,High School Graduates White Age 25 Up,116.0
Raeford,Municipality,2010,High School Graduates White Age 25 Up,1168.0
Raeford,Municipality,1990,High School Graduates White Age 25 Up,1005.0
Norlina,Municipality,2015,High School Graduates White Age 25 Up,447.0
Eureka,Municipality,2000,High School Graduates White Age 25 Up,107.0
Arlington,Municipality,2000,High School Graduates White Age 25 Up,360.0
Holly Ridge,Municipality,1990,High School Graduates White Age 25 Up,251.0
Jacksonville,Municipality,1980,High School Graduates White Age 25 Up,2742.0
Mesic,Municipality,2015,High School Graduates White Age 25 Up,67.0
Middlesex,Municipality,2015,High School Graduates White Age 25 Up,302.0
Mount Airy,Municipality,2015,High School Graduates White Age 25 Up,4958.0
