area Name,area type,year,variable,value
Tract 17,Tract,1990,High School Graduates White Age 25 Up,2235.0
Fremont,Municipality,2015,High School Graduates White Age 25 Up,360.0
Elm City,Municipality,1990,High School Graduates White Age 25 Up,429.0
Lucama,Municipality,1990,High School Graduates White Age 25 Up,347.0
Tract 20.07,Tract,1990,High School Graduates White Age 25 Up,1977.0
Simpson,Municipality,2010,High School Graduates White Age 25 Up,136.0
Long Acre Township,Township,1990,High School Graduates White Age 25 Up,3597.0
Dobbins Heights,Municipality,2010,High School Graduates White Age 25 Up,71.0
Franklin,Municipality,2010,High School Graduates White Age 25 Up,1969.0
Hot Springs,Municipality,2015,High School Graduates White Age 25 Up,239.0
Bakersville,Municipality,2015,High School Graduates White Age 25 Up,203.0
Roper,Municipality,1990,High School Graduates White Age 25 Up,85.0
Pikeville,Municipality,1990,High School Graduates White Age 25 Up,269.0
Polk County,County,1970,High School Graduates White Age 25 Up,2527.0
Stantonsburg,Municipality,2000,High School Graduates White Age 25 Up,235.0
BNA 9906,Tract,1990,High School Graduates White Age 25 Up,1886.0
Dublin,Municipality,2015,High School Graduates White Age 25 Up,124.0
Tract 15,Tract,1990,High School Graduates White Age 25 Up,883.0
Fountain,Municipality,1980,High School Graduates White Age 25 Up,44.0
Southport,Municipality,2010,High School Graduates White Age 25 Up,1464.0
Sunset Beach,Municipality,1990,High School Graduates White Age 25 Up,233.0
Grifton,Municipality,2010,High School Graduates White Age 25 Up,935.0
Tract 1.01,Tract,1990,High School Graduates White Age 25 Up,789.0
Columbus,Municipality,2015,High School Graduates White Age 25 Up,547.0
Tract 11,Tract,1990,High School Graduates White Age 25 Up,85.0
Bridgeton,Municipality,1990,High School Graduates White Age 25 Up,208.0
Liberty,Municipality,2000,High School Graduates White Age 25 Up,920.0
Staley,Municipality,2015,High School Graduates White Age 25 Up,144.0
Kill Devil Hills,Municipality,2010,High School Graduates White Age 25 Up,4423.0
Everetts,Municipality,2000,High School Graduates White Age 25 Up,96.0
Teachey,Municipality,1980,High School Graduates White Age 25 Up,37.0
Elizabethtown,Municipality,2010,High School Graduates White Age 25 Up,998.0
Belville,Municipality,2010,High School Graduates White Age 25 Up,955.0
Vanceboro,Municipality,1980,High School Graduates White Age 25 Up,134.0
Dover,Municipality,2010,High School Graduates White Age 25 Up,161.0
Fayetteville,Municipality,1990,High School Graduates White Age 25 Up,24525.0
Sampson County,County,2015,High School Graduates White Age 25 Up,21280.0
Tract 108.02,Tract,1990,High School Graduates White Age 25 Up,638.0
Bladen County,County,2000,High School Graduates White Age 25 Up,9777.0
Cabarrus County,County,2015,High School Graduates White Age 25 Up,85617.0
Washington County,County,2015,High School Graduates White Age 25 Up,3867.0
Elk Township,Township,1990,High School Graduates White Age 25 Up,229.0
BNA 9901,Tract,1990,High School Graduates White Age 25 Up,1014.0
Cleveland Township,Township,1990,High School Graduates White Age 25 Up,1503.0
Tract 13,Tract,1990,High School Graduates White Age 25 Up,989.0
Tract 212,Tract,1990,High School Graduates White Age 25 Up,3412.0
Tract 408,Tract,1990,High School Graduates White Age 25 Up,1423.0
Tract 8.02,Tract,1990,High School Graduates White Age 25 Up,178.0
BNA 9706,Tract,1990,High School Graduates White Age 25 Up,3230.0
Tract 33.05,Tract,1990,High School Graduates White Age 25 Up,2451.0
Tract 603,Tract,1990,High School Graduates White Age 25 Up,2043.0
Tract 709,Tract,1990,High School Graduates White Age 25 Up,1731.0
Tract 710,Tract,1990,High School Graduates White Age 25 Up,1936.0
BNA 9707,Tract,1990,High School Graduates White Age 25 Up,1922.0
Tract 38.03,Tract,1990,High School Graduates White Age 25 Up,1212.0
Tract 105.02,Tract,1990,High School Graduates White Age 25 Up,1929.0
BNA 9702,Tract,1990,High School Graduates White Age 25 Up,672.0
Tract 112,Tract,1990,High School Graduates White Age 25 Up,2350.0
Hadley Township,Township,1990,High School Graduates White Age 25 Up,401.0
Abbotts Creek Twp.,Township,1990,High School Graduates White Age 25 Up,3148.0
Tract 119.05,Tract,1990,High School Graduates White Age 25 Up,700.0
BNA 9902,Tract,1990,High School Graduates White Age 25 Up,1448.0
Jamestown Township,Township,1990,High School Graduates White Age 25 Up,5379.0
Scotland Neck Twp.,Township,1990,High School Graduates White Age 25 Up,882.0
Toisnot Township,Township,1990,High School Graduates White Age 25 Up,1396.0
East Bend Township,Township,1990,High School Graduates White Age 25 Up,1041.0
Egypt Township,Township,1990,High School Graduates White Age 25 Up,228.0
Scott Creek Twp.,Township,1990,High School Graduates White Age 25 Up,716.0
Tract 401,Tract,1990,High School Graduates White Age 25 Up,984.0
"Twp. 2, Jonesboro",Township,1990,High School Graduates White Age 25 Up,3759.0
Vance Township,Township,1990,High School Graduates White Age 25 Up,1182.0
Lees Mills Township,Township,1990,High School Graduates White Age 25 Up,683.0
Tract 302.01,Tract,1990,High School Graduates White Age 25 Up,1438.0
BNA 9701,Tract,1990,High School Graduates White Age 25 Up,1488.0
Lumber Bridge Twp.,Township,1990,High School Graduates White Age 25 Up,372.0
Tract 210,Tract,1990,High School Graduates White Age 25 Up,1021.0
Tract 806,Tract,1990,High School Graduates White Age 25 Up,1342.0
Rowland Township,Township,1990,High School Graduates White Age 25 Up,432.0
Burnt Swamp Twp.,Township,1990,High School Graduates White Age 25 Up,42.0
Williamsburg Twp.,Township,1990,High School Graduates White Age 25 Up,944.0
Locke Township,Township,1990,High School Graduates White Age 25 Up,3824.0
